GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Collections App,com.apm.app,OutputUtilities,82,0,4,0,21,0,9,0,7,0
Collections App,com.apm.app,InputUtilities,336,62,40,10,125,20,33,10,13,5
Collections App,com.apm.app,AdvancedView,125,0,16,0,69,0,19,0,7,0
Collections App,com.apm.app,AdvancedMain,15,0,2,0,8,0,4,0,3,0
